TEAM,RATING_H_DEF,RATING_H_OFF,RATING_A_DEF,RATING_A_OFF
Liverpool,5.54897089531155,18.652966703899107,6.1937744736450115,17.39282468153613
West Ham,11.367823900845773,7.66582349437828,11.271773406143954,9.269756121727562
Bournemouth,12.191437370379203,9.721950087991907,12.125700900798401,11.660189113025817
Burnley,12.51405403200552,8.35613486214219,12.713706976865808,9.684644594319689
Crystal Palace,8.083622006464548,7.718611175407595,8.373656993349684,6.987767313840072
Watford,13.255559390864859,4.682558356132519,14.041502675403576,4.989450566423493
Tottenham,10.871895226355866,13.070590305799238,10.833590248070697,14.37917343152354
Leicester,11.061228500646312,5.8195424218331055,11.115317077505866,6.71544652797553
Newcastle,8.033234450478702,11.512527362095156,6.766098450663047,11.0963768608087
Man United,12.203894129735529,11.163151956592195,11.424100430239303,12.71383166964331
Arsenal,0.0,20.39066335629296,0.0,16.288635664424746
Aston Villa,6.679745137372556,13.60893497787752,4.9636649233018995,13.544323238672696
Brighton,6.640562563018688,16.371650767912325,6.8123810627956125,14.540239316500196
Everton,8.78393675147665,8.508316584652285,8.47223373881236,9.131748092817851
Norwich,16.322609720457482,1.1448817932203865,15.819774486932177,4.988403600063686
Southampton,9.928103669872158,7.9485682467324,9.966866344871569,7.572376107268754
Man City,4.627479230336482,18.356429978166823,4.152240786898899,14.748995832629245
Sheffield United,16.337619557697746,0.5478068518564453,16.349163664598862,2.3239390073025565
Chelsea,11.298971219367912,11.820221688485224,9.977641461810359,11.245662837673242
Wolves,9.988140076403775,7.022691629378647,9.979097738807022,8.161185251345985
Fulham,8.87354905239635,10.17968771824736,9.731200826219682,9.339731730583368
West Brom,19.55856767854965,4.594641250519642,18.30231261462805,7.809616491867485
Leeds,10.904021159828567,9.09843236451576,10.306481101231187,9.53968623076969
Brentford,11.038109202093972,7.835094336321835,10.695569290248718,8.623554422540195
Nott'm Forest,10.209793722727765,3.003984231988991,10.343810831155373,4.758688735193183
Luton,10.90814003519168,5.4580511341941245,9.184436620676994,5.7708777184773625
